PreG1a	PreG2a	PostG1a	PostG2a
44.715	44.382	44.849	48.065
43.079	45.041	42.93	47.672
43.896	44.432	43.744	48.322
42.924	43.66	44.239	46.425
43.348	43.954	43.661	46.566
44.989	42.26	44.871	44.634
44.315	44.828	45.351	48.513
43.988	43.936	42.895	47.127
45.465	44.095	45.488	46.095
44.691	42.456	44.403	46.28
44.256	42.166	43.423	45.049
43.967	44.297	43.783	47.533
46.406	43.692	45.996	46.603
41.508	43.908	44.471	47.108
44.429	43.156	43.547	46.932
44.428	43.879	44.111	46.894
42.938	43.791	45.16	48.059
44.11	44.768	42.631	49.228
44.68	42.996	43.32	46.508
42.939	43.526	43.798	46.484
44.076	44.516	42.66	47.04
42.996	45.592	42.507	47.463
43.179	43.929	42.96	46.141
43.388	44.328	44.279	47.956
41.164	42.538	42.291	46.423
43.679	44.133	43.841	46.529
44.69	43.023	43.669	47.006
44.064	44.954	45.271	47.951
44.672	43.134	45.507	45.024
44.779	42.325	44.932	45.937
42.224	43.929	43.163	48.216
44.748	43.941	44.664	46.782
43.324	44.227	43.728	46.307
43.161	43.844	44.998	46.679
43.588	43.693	44.682	45.49
43.284	43.248	43.105	46.639
44.711	43.623	46.667	46.812
45.31	44.977	44.369	47.201
42.026	43.917	42.858	47.542
44.532	44.497	44.944	46.538
42.197	43.223	44.638	45.937
45.048	44.643	45.995	48.59
43.932	42.459	45.395	45.81
45.393	44.983	46.055	47.984
43.358	44.34	43.45	46.387
44.359	43.075	45.092	46.957
44.06	46.78	44.119	48.385
43.884	42.505	43.506	46.842
45.721	45.596	44.089	48.881
45.465	44.261	45.377	47.328
45.02	43.845	45.166	47.216
43.648	42.756	44.607	46.37
44.017	43.269	44.179	46.111
42.671	43.59	42.39	46.653
44.906	44.734	43.559	46.69
44.961	44.953	45.163	46.238
44.762	42.906	45.223	45.414
45.262	44.045	43.988	47.994
43.522	44.213	45.623	47.243
43.601	46.374	43.402	48.479
44.163	43.844	44.769	47.768
44.34	41.867	43.982	46.727
43.581	42.796	43.171	45.539
41.89	43.991	42.804	47.189
44.582	42.875	45.225	45.194
46.068	43.904	44.911	47.983
44.13	44.831	45.956	47.569
45.567	43.973	44.435	46.631
43.19	42.26	44.512	46.171
43.076	45.433	44.186	48.93
42.435	44.908	44.094	48.521
44.174	43.155	44.045	46.109
43.689	45.06	43.34	47.305
45.127	43.88	43.872	46.46
43.902	44.05	43.394	46.353
44.606	44.823	43.878	47.584
44.99	43.036	45.499	46.107
46.011	44.687	45.89	47.86
42.347	45.757	42.729	48.001
45.59	43.573	46.655	46.214
43.076	45.934	43.482	47.775
43.072	44.079	43.217	47.331
43.138	44.667	43.876	47.312
43.989	42.719	43.064	46.348
43.766	44.502	44.892	48.264
44.203	43.36	44.539	46.685
43.12	45.06	42.458	47.012
43.475	44.117	43.783	47.421
43.729	44.568	44.894	47.06
44.291	44.725	43.627	46.507
43.418	43.628	44.489	46.272
43.915	44.107	44.869	47.462
43.688	43.874	43.473	46.868
43.761	43.246	43.609	46.91
44.366	43.608	43.244	47.219
43.952	44.341	44.463	47.866
42.749	45.235	43.705	47.358
44.525	42.429	45.124	44.899
43.764	44.038	45.067	46.554
42.762	43.675	43.07	46.986
44.038	43.923	43.858	47.724
42.961	44.134	42.4	47.296
44.144	45.228	44.178	48.587
42.79	44.335	42.8	46.451
42.99	43.13	44.717	45.647
43.686	44.152	43.719	47.818
43.1	45.243	43.038	48.724
43.388	42.636	42.867	45.545
44.021	43.754	42.122	47.449
43.029	44.95	42.915	48.112
44.214	44.657	43.577	47.141
43.698	44.606	44.202	46.906
43.045	43.599	42.287	46.249
44.323	45.584	43.819	48.322
44.512	42.879	45.176	46.779
43.287	43.878	43.385	45.494
44.132	44.862	44.18	48.241
45.047	44.39	44.366	48.07
45.37	43.649	43.065	47.76
44.691	43.84	44.656	45.563
44.137	43.28	44.141	47.608
45.127	41.666	45.24	46.587
44.189	42.892	43.238	46.311
43.989	45.224	43.245	47.981
42.768	44.989	43.499	49.301
43.447	45.438	43.839	48.259
44.733	44.22	43.715	46.979
41.539	41.201	43.624	44.378
45.656	43.526	45.681	48.105
44.19	43.473	45.052	47.662
43.211	44.386	43.235	47.969
43.734	43.759	43.171	46.053
45.323	42.154	43.207	45.518
44.515	45.479	43.541	46.692
42.817	45.547	41.75	49.648
42.513	42.883	42.45	45.732
43.293	42.881	43.252	45.489
44.788	46.508	44.136	47.04
45.293	44.61	44.466	48.702
42.216	44.007	41.928	47.838
43.684	43.444	44.596	47.236
43.924	42.784	44.234	47.636
43.957	44.152	43.601	47.56
43.682	43.168	42.449	47.25
44.812	43.065	46.387	46.577
43.874	44.701	44.361	47.357
42.644	44.392	42.964	48.077
42.663	42.882	43.081	46.013
43.142	44.972	42.448	48.487
44.262	45.068	44.372	46.735
43.011	44.1	42.266	46.687
45.218	43.56	43.64	47.008
43.725	44.534	43.438	45.962
45.284	45.473	45.345	46.446
43.317	42.67	44.72	45.855
45.729	45.109	44.409	47.259
43.572	44.724	44.045	47.062
45.14	44.697	45.632	46.987
43.999	45.215	43.852	47.622
44.021	45.306	42.423	48.532
45.533	41.581	44.557	45.642
45.087	43.761	45.463	45.461
43.681	43.389	44.384	45.854
43.802	42.619	43.572	44.561
44.086	42.41	43.261	44.999
45.875	43.652	44.655	46.152
43.838	43.74	43.141	45.875
43.25	42.931	44.669	46.018
44.012	41.997	44.538	45.233
44.812	43.285	44.351	45.179
44.863	42.536	43.257	45.547
44.472	43.236	44.222	46.515
42.258	42.598	43.94	46.575
44.743	44.26	43.776	48.609
43.738	44.563	46.544	47.622
44.301	43.266	44.503	48.061
43.715	44.72	43.964	47.992
44.464	44.659	43.489	48.534
43.446	43.724	45.45	46.624
44.468	43.812	43.995	45.989
44.961	45.117	45.341	46.596
42.888	43.011	44.011	46.035
43.145	44.447	43.356	47.445
45.259	44.647	45.526	48.048
44.44	43.656	44.457	45.85
42.537	42.567	42.577	46.096
42.416	45.686	43.174	47.983
43.038	44.043	41.645	46.882
41.471	43.56	43.47	46.109
43.207	42.513	43.018	43.958
44.16	43.54	46.001	44.82
43.907	45.095	43.832	47.643
45.324	44.641	44.838	46.372
44.181	42.708	46.662	45.522
43.781	44.314	45.62	46.113
43.238	43.66	43.253	46.632
43.407	44.086	44.208	47.33
45.474	45.408	46.506	47.649
43.817	42.199	42.451	44.368
44.84	44.843	43.417	47.339
44.633	44.477	43.78	46.18
44.705	43.284	45.193	46.567
43.236	44.367	45.434	47.602
43.231	43.553	43.105	46.671
42.11	44.403	43.565	46.697
45.476	42.751	45.784	46.401
45.559	44.687	44.079	48.223
43.195	45.516	41.194	47.532
44.547	44.254	43.895	47.144
44.859	44.513	44.124	46.632
42.934	44.115	42.782	46.335
43.96	43.695	43.437	47.087
43.086	43.139	44.612	45.886
42.46	44.827	42.186	48.673
42.766	44.863	42.084	49.14
43.943	43.088	43.513	46.264
45.108	43.963	44.67	47.564
43.031	42.673	44.745	46.836
43.024	44.083	41.498	47.328
44.471	45.451	44.344	47.93
44.338	43.109	44.024	46.35
45.414	44.243	43.915	48.207
42.879	45.868	44.872	48.62
41.947	43.018	43.58	45.233
44.973	44.541	45.349	47.338
45.191	43.05	45.373	45.088
42.588	43.325	42.647	46.484
44.371	42.463	44.496	47.297
44.439	45.375	44.487	48.048
43.155	43.922	43.016	47.096
42.688	43.812	41.966	45.617
44.625	44.385	45.072	48.156
43.119	43.01	43.892	47.231
44.887	43.237	43.388	46.37
43.29	43.825	42.378	47.008
43.002	44.477	43.133	48.27
44.588	45.207	44.448	48.047
41.656	45.5	42.512	46.464
44.621	43.064	44.69	47.688
44.346	43.823	44.305	47.444
44.998	44.658	44.756	47.933
43.903	45.392	43.22	48.112
44.203	45.429	44.321	48.757
44.629	44.194	44.663	46.747
42.454	45.511	41.662	48.358
44.542	43.254	43.659	46.092
46.382	42.964	46.11	45.563
44.71	44.383	43.037	48.122
43.416	43.278	45.14	48.237
43.78	43.41	42.824	46.997
43.866	43.75	42.62	47
43.468	43.823	44.077	46.58
44.225	42.046	45.897	44.652
43.055	42.809	43.556	45.98
43.635	43.946	43.536	47.5
43.671	44.585	43.928	46.925
45.156	43.536	44.63	46.652
45.647	43.247	43.95	47.376
43.62	43.712	44.797	45.607
45.682	44.23	44.13	46.3
44.393	46.138	45.448	48.203
44.028	45.189	43.169	48.099
46.24	44.753	45.515	47.149
45.34	42.485	44.362	46.714
43.136	43.272	44.101	45.814
45.826	44.773	45.277	47.199
42.74	44.183	43.532	47.528
43.915	43.077	43.788	45.622
45.14	44.01	43.7	46.643
44.324	44.069	44.527	47.669
44.275	41.76	45.26	44.714
44.07	43.36	44.357	46.438
42.596	44.112	43.887	46.651
43.309	42.948	44.145	45.326
44.309	42.985	42.676	46.769
42.601	43.596	42.597	45.293
44.068	45.768	44.723	48.455
42.597	41.764	42.785	44.937
42.318	43.117	44.268	45.88
43.05	44.58	43.162	48.163
42.861	46.119	42.608	47.886
43.811	43.272	43.003	46.912
42.405	42.982	42.795	46.349
44.048	42.746	44.906	45.831
44.172	43.598	42.497	46.085
43.267	41.589	42.576	44.411
44.895	44.335	45.055	48.6
44.479	44.963	44.473	46.812
45.388	43.544	45.144	44.697
43.552	43.791	45.255	45.595
43.726	44.437	42.556	47.462
43.957	44.548	43.861	47.966
45.276	44.935	44.387	49.808
45.982	43.488	44.974	47.303
44.236	43.735	44.526	47.781
43.271	45.899	44.877	48.214
43.397	41.699	43.674	46.003
42.155	43.158	44.6	46.841
46.075	42.499	46.889	45.507
42.85	44.551	44.276	46.981
43.663	42.374	44.029	46.638
44.631	44.287	45.429	46.498
42.741	44.576	41.888	48.849
42.564	42.463	43.254	47.565
43.486	43.69	44.311	47.106
43.865	44.615	44.705	47.823
44.262	45.378	44.638	48.466
43.085	45.065	45.128	47.338
44.655	43.996	44.749	46.453
42.579	43.262	43.144	46.631
44.145	45.301	43.605	47.253
42.532	43.482	43.641	46.916
42.972	44.669	44.081	48.277
42.959	43.575	43.402	48.003
44.634	42.986	43.475	46.383
45.056	43.587	43.968	46.383
43.283	44.893	43.978	48.43
