Price	Number_of_Hours_Late	Number_Cancelled_per_Day_per_500	Bag_Delivery_Time	#_Lost_Bags
1291.26	0.4	38		
1538.18	0.38	53		
1675.66	0.47	78		
2105.98	0.42	48		
2002.45	0.39	43		
1901.86	0.46	43		
2238.86	0.39	48		
1878.7	0.38	68		
1873.18	0.42	53		
1566.46	0.44	68		
1991.04	0.4	53		
1542.6	0.42	48		
1399.24	0.36	38		
1839.46	0.39	58		
1568.79	0.36	68		
1787.2	0.4	68		
1848.36	0.36	48		
1907.72	0.39	23		
1670.98	0.36	43		
1638.74	0.46	58		
2041.23	0.43	48		
2012.65	0.38	38		
1709.14	0.41	63		
1446.58	0.39	78		
1520.54	0.39	28		
1304.62	0.52	53		
1893.72	0.38	83		
1849.58	0.42	53		
1496.78	0.36	73		
1537.75	0.4	48		
1569.94	0.42	58		
1166.44	0.42	38		
1337.95	0.36	38		
1571.43	0.4	48		
1462.54	0.47	43		
1987.8	0.37	53		
1373.84	0.41	63		
1413.46	0.36	48		
1490.33	0.43	33		
1663.29	0.44	53		
1321.22	0.4	43		
1820.79	0.33	63		
1431.45	0.43	43		
1387.94	0.4	48		
1152.22	0.34	53		
1323.82	0.41	18		
1480.01	0.38	48		
1403.86	0.42	53		
1825.15	0.4	48		
2005.64	0.35	38		
1872.13	0.36	68		
1383.49	0.39	43		
1645.37	0.42	68		
1674.1	0.36	53		
1630.1	0.4	58		
1467	0.36	53		
1433.48	0.38	53		
1954.37	0.46	63		
1492.56	0.38	48		
1675.36	0.4	38		
1081.89	0.35	48		
1599.75	0.4	48		
1407.22	0.35	33		
1399.91	0.39	48		
1797.17	0.34	48		
1631.96	0.37	63		
1354.17	0.44	83		
1069.2	0.4	48		
1645.99	0.36	53		
1700.15	0.38	63		
1978.79	0.36	58		
1922.9	0.44	38		
1385.4	0.35	48		
1840.38	0.4	28		
2274.92	0.35	53		
2091.73	0.37	63		
1999.13	0.39	63		
1824.66	0.41			
1841.67	0.39			
1687.32	0.45			
1813.06	0.37			
2403.56	0.36			
1700.47	0.4			
1255.89	0.36			
1511.8	0.44			
1671.23	0.4			
1439.32	0.37			
1946.57	0.4			
1782.83	0.43			
1691.9	0.33			
1639.82	0.44			
1163.37	0.39			
2004.26	0.38			
1598.17	0.38			
1631.82	0.39			
1594.72	0.37			
1420.15	0.43			
1486.82	0.37			
1434.82	0.37			
1495.68	0.4			
1516.32	0.49			
1448.59	0.37			
1992.02	0.41			
1517.1	0.44			
1531.94	0.38			
1347.74	0.43			
1759.79	0.39			
1788.08	0.4			
1040.51	0.4			
1994.16	0.36			
1161.24	0.37			
1480.94	0.41			
1470.07	0.38			
1654.39	0.39			
1423.76	0.37			
1453.95	0.44			
1835.07	0.36			
1555.26	0.45			
1545.88	0.38			
1407.33	0.47			
1613.68	0.4			
1813.14	0.42			
1949.74	0.38			
1349.11	0.4			
1461.06	0.39			
1864.07	0.43			
1795.97	0.39			
2190.21	0.42			
1752.7	0.35			
1441.02	0.4			
1668.5	0.43			
1493.94	0.44			
1387.18	0.37			
1446.58	0.36			
1812.46	0.4			
1688.63	0.4			
1684.49	0.41			
1713.38	0.41			
1077.04	0.33			
1455.96	0.43			
869.5	0.32			
1961.96	0.38			
1343.5	0.4			
1782.64	0.44			
1805.06	0.39			
2125.86	0.39			
1494.65	0.4			
1161.35	0.44			
1447.39	0.39			
1704.42	0.39			
2151.84	0.34			
1990.06	0.35			
1688.64	0.37			
1408.62	0.44			
1322.02	0.37			
1721.84	0.44			
2092.69	0.37			
1523.74	0.41			
1453.14	0.39			
1740.97	0.35			
1183.58	0.37			
1565.36	0.48			
1513.82	0.39			
1923.95	0.39			
1194.11	0.41			
2213.17	0.41			
1471.59	0.44			
1622.74	0.41			
1577.18	0.38			
1495.13	0.37			
1676.32	0.35			
1931.9	0.42			
2126.94	0.4			
1593.66	0.41			
1247.44	0.42			
1056.26	0.39			
1773.27	0.44			
1812.59	0.36			
1666.36	0.41			
1583.62	0.43			
1680.91	0.39			
1110.17	0.36			
1734.61	0.42			
1376.5	0.37			
1515.38	0.43			
1673.69	0.38			
1894.34	0.39			
1636.87	0.39			
1655.92	0.42			
1566.82	0.37			
925.22	0.4			
1686.46	0.42			
1758.6	0.36			
1866.78	0.4			
1816.86	0.39			
1077.42	0.41			
1063.9	0.39			
2012.85	0.35			
1967.86	0.36			
1520.96	0.38			
1523.57	0.42			
1472.1	0.39			
1283.37	0.4			
1411.73	0.42			
2082.37	0.4			
1905.87	0.39			
1485.77	0.4			
1972.73	0.42			
1764.85	0.41			
1540.7	0.36			
1553.39	0.41			
1731.74	0.35			
2240.06	0.49			
1405.88	0.39			
1330.25	0.46			
1663.86	0.4			
1553.46	0.37			
1147.98	0.47			
1560.26	0.47			
1591.86	0.4			
1154.31	0.4			
1587.35	0.4			
1601.53	0.46			
2185.95	0.38			
1590.86	0.4			
1285.18	0.41			
1747.16	0.38			
1855.23	0.37			
1558.86	0.42			
1437.58	0.39			
1335.22	0.39			
1530.25	0.41			
1704.84	0.4			
1955.47	0.39			
1815.73	0.41			
1287.28	0.44			
1349.62	0.39			
1944.49	0.41			
1880.12	0.33			
2065	0.42			
1744.03	0.4			
1125.27	0.39			
1506.29	0.34			
1276.07	0.38			
1632.02	0.42			
2061.73	0.39			
1541.16	0.42			
2253.73	0.43			
1925.42	0.38			
1593.07	0.38			
2087.69	0.39			
1775.39	0.37			
1338.41	0.39			
1224.14	0.39			
1687.14	0.42			
1548.96	0.44			
1955.88	0.41			
1435.39	0.35			
2124.97	0.39			
1494.64	0.42			
1215.48	0.45			
1800.57	0.49			
1428.16	0.37			
1629.8	0.42			
1367.38	0.4			
1919.48	0.41			
1865.06	0.39			
1745.62	0.42			
1557.7	0.45			
1213.59	0.44			
1999.96	0.41			
1167.79	0.4			
2070.42	0.38			
1553.62	0.39			
1739.78	0.37			
1424.3	0.43			
1168.08	0.4			
1171.86	0.41			
1763.55	0.42			
1419.87	0.41			
1012.57	0.38			
1765.66	0.43			
1683.14	0.34			
1037.98	0.32			
1467.37	0.36			
1895.62	0.35			
1605.82	0.39			
1686.97	0.39			
1602.98	0.47			
1367	0.43			
2141.72	0.43			
1764.74	0.42			
1533.38	0.41			
1114.46	0.42			
1559.09	0.3			
1835.49	0.41			
1009.74	0.41			
1527.78	0.38			
2037.51	0.39			
1958.03	0.41			
1364.02	0.35			
1508.74	0.45			
1827.13	0.44			
1652.46	0.42			
1774.68	0.4			
1465.65	0.42			
2010.2	0.43			
1988.87	0.38			
2102.1	0.39			
1537.59	0.4			
1795.64	0.39			
1344.74	0.41			
1261.85	0.38			
1260.14	0.37			
1112.72	0.4			
1335.98	0.36			
1746.27	0.39			
1382.01	0.4			
1879.81	0.38			
1350.42	0.46			
1684.71	0.4			
1603.02	0.4			
1492.78	0.36			
1328.2	0.38			
1903.4	0.35			
2304.25	0.41			
2130.22	0.36			
1626.14	0.44			
2097.53	0.33			
1093.54	0.41			
1396.09	0.4			
1638.63	0.43			
1368.79	0.41			
1736.94	0.43			
1720.17	0.38			
1607.34	0.43			
2027.24	0.36			
1829.11	0.37			
1900.3	0.41			
1819.42	0.47			
1382.82	0.41			
1719.18	0.42			
1439.44	0.37			
1930.38	0.39			
1897.83	0.39			
1626.12	0.44			
1759.71	0.38			
1605.36	0.41			
1374.04	0.35			
1616.45	0.35			
1484.08	0.4			
2188.62	0.39			
832.46	0.4			
1425.22	0.41			
1620.99	0.38			
1822.45	0.42			
1953.15	0.39			
1192.17	0.38			
1383.14	0.39			
1909.91	0.41			
2027.95	0.35			
1819.18	0.37			
1759.32	0.38			
1897.05	0.37			
1910.16	0.38			
1345.78	0.43			
1535.26	0.38			
1781.94	0.5			
1828.84	0.35			
1756.42	0.41			
1941.79	0.41			
1642.94	0.37			
1962.06	0.47			
1677.39	0.41			
1308.13	0.39			
1498.02	0.41			
1627.95	0.47			
1729.11	0.38			
1321.94	0.41			
1924.73	0.36			
1150.96	0.4			
1643.52	0.38			
1464.14	0.37			
1858.55	0.43			
1395.85	0.4			
1960.93	0.36			
1792.17	0.36			
1662.47	0.43			
1882.73	0.37			
1872.9	0.41			
1335.03	0.35			
1606.44	0.41			
1102.84	0.39			
1676.29	0.49			
1566.22	0.42			
983.62	0.38			
1467.18	0.41			
1422.04	0.36			
1861.62	0.4			
1431.54	0.38			
1697.2	0.42			
1519.48	0.37			
2077.9	0.44			
1807	0.43			
1183.44	0.42			
1954.15	0.42			
1144.95	0.44			
1768.37	0.44			
1729.19	0.4			
1708.46	0.38			
1598.2	0.4			
1671.26	0.36			
1393.94	0.39			
1861.22	0.43			
1439.86	0.42			
1618.12	0.36			
1669.43	0.37			
1066.75	0.38			
1805.06	0.42			
1743.29	0.41			
1568.2	0.39			
1544.24	0.45			
1747.55	0.43			
1808.12	0.44			
1622.18	0.39			
883.34	0.43			
2134.26	0.39			
1531.74	0.41			
1244.03	0.43			
1382.58	0.4			
1516.34	0.34			
1638.06	0.45			
1708.32	0.41			
1457.36	0.4			
1581.22	0.41			
1471.42	0.39			
1749.37	0.39			
1324.38	0.36			
917.38	0.42			
1350.96	0.37			
1710.61	0.41			
1332.28	0.37			
1480.5	0.43			
1660.47	0.4			
1645.5	0.42			
1531.76	0.4			
1710.07	0.39			
1027.96	0.39			
1241.23	0.4			
1213.85	0.37			
1120.6	0.42			
1778.49	0.4			
1216.58	0.42			
1544.96	0.33			
1676.18	0.45			
1548.54	0.38			
1381.21	0.4			
1451.5	0.34			
1886.23	0.4			
2113.18	0.4			
1649.13	0.39			
1569.08	0.35			
1387.79	0.39			
1334.3	0.38			
1585.23	0.4			
1794.87	0.41			
1679.75	0.47			
1385.3	0.4			
1647.73	0.38			
1255.17	0.41			
1708.41	0.37			
1375.18	0.45			
1804.84	0.39			
1037.21	0.35			
1499.7	0.37			
1330.62	0.38			
1431.66	0.4			
1778.24	0.4			
1627.39	0.35			
1193.74	0.35			
1518.12	0.38			
1561.57	0.36			
1426.63	0.41			
1860.78	0.39			
1367.73	0.46			
1759.15	0.35			
2308.62	0.34			
1580.86	0.43			
1692.44	0.41			
1615.34	0.36			
1865.6	0.41			
1263.75	0.36			
1280.85	0.42			
1859.53	0.39			
2035.78	0.45			
1605.25	0.37			
1898.52	0.41			
1332.1	0.36			
1847.63	0.36			
1655.68	0.43			
1317.06	0.45			
1302.88	0.42			
1703.58	0.39			
1546.72	0.48			
1983.7	0.38			
1585.55	0.43			
2045.38	0.42			
1413.06	0.36			
2434.65	0.47			
1775.91	0.38			
1590.5	0.36			
1827.98	0.38			
998.71	0.39			
1516.9	0.36			
2145.6	0.42			
1717.18	0.35			
1614.67	0.42			
1884.49	0.47			
1168.52	0.39			
1389.55	0.44			
2169.5	0.4			
1768.8	0.39			
2091.06	0.35			
1637.83	0.44			
1247.17	0.39			
1748.74	0.44			
2062.33	0.4			
1575.73	0.44			
1521.98	0.43			
1495.23	0.38			
1229.78	0.42			
1365.53	0.42			
1345.43	0.33			
1092.53	0.37			
1621.5	0.38			
1593.58	0.42			
1762.48	0.37			
1657.65	0.38			
1409.6	0.41			
2659.59	0.32			
1488.19	0.33			
1483.38	0.43			
1603.1	0.37			
800.58	0.46			
1144.22	0.35			
1851.75	0.41			
1056.71	0.39			
2006.02	0.4			
1639.83	0.46			
1357.21	0.36			
2054.32	0.36			
1732	0.39			
1510.56	0.44			
1912.72	0.4			
2107.09	0.4			
1940.08	0.39			
1887.18	0.42			
1452.24	0.36			
1488.78	0.45			
1839.57	0.39			
1860.65	0.38			
1651.03	0.41			
2182.82	0.37			
1783.09	0.41			
1456.4	0.45			
1121.37	0.47			
1920.13	0.41			
1669.91	0.4			
2002.97	0.4			
1985.04	0.34			
1369.76	0.39			
1793.26	0.4			
1847.63	0.36			
2180.24	0.39			
1988.16	0.39			
1521.19	0.41			
1532.1	0.34			
1227.57	0.42			
927.43	0.37			
1846.95	0.42			
1467.54	0.36			
1485.47	0.37			
1651.23	0.46			
2109.42	0.33			
1179.51	0.37			
1791	0.43			
1648.49	0.4			
2057.56	0.42			
1804.07	0.39			
1980.5	0.34			
1740.51	0.39			
1434.43	0.38			
1479.29	0.41			
1381.08	0.39			
1787.81	0.36			
1033.69	0.36			
1275.95	0.37			
1823.85	0.38			
1617.32	0.37			
1116.63	0.37			
1762.98	0.47			
1772.89	0.46			
1998.85	0.41			
1668.44	0.43			
1303.07	0.38			
1657.14	0.41			
1371.9	0.39			
1528.6	0.37			
1505.25	0.38			
1719	0.53			
1199.93	0.4			
1701.34	0.41			
1885.24	0.39			
1955.02	0.52			
1643.66	0.41			
1195.14	0.4			
1138.12	0.35			
1343.1	0.47			
1606.94	0.43			
1504.35	0.41			
1965.68	0.44			
1695.96	0.41			
2042.24	0.47			
1973.68	0.48			
2133.44	0.38			
1789.99	0.36			
1669.29	0.43			
1849.98	0.37			
1546.74	0.37			
1709.11	0.42			
1622.12	0.45			
1640.1	0.31			
1801.62	0.41			
1604.3	0.43			
1676.93	0.4			
1590.74	0.37			
1500.36	0.36			
1291.38	0.4			
1599.96	0.4			
1736.18	0.44			
1844.86	0.4			
1681.39	0.4			
1439.96	0.41			
1793.05	0.47			
1911.04	0.4			
1963.91	0.43			
1491.18	0.45			
1206.19	0.38			
1402.26	0.39			
1578.98	0.41			
1603.89	0.44			
2289.38	0.36			
1726.19	0.39			
1098.34	0.38			
1794.41	0.37			
1959.68	0.41			
1356.52	0.38			
1268.56	0.37			
1694.93	0.37			
1937.13	0.41			
1384.18	0.44			
1901.03	0.37			
1813.26	0.37			
1808.73	0.43			
1538.5	0.39			
1497.08	0.36			
1666.38	0.36			
1397.23	0.38			
1214.58	0.38			
1957.13	0.39			
1526.22	0.39			
1654.89	0.44			
1722.94	0.41			
1178.47	0.35			
1269.62	0.36			
1671.32	0.42			
1118.98	0.36			
1674.61	0.38			
1549.06	0.42			
1628.7	0.43			
1719.94	0.42			
1667.09	0.42			
1859.21	0.41			
1837.37	0.37			
1784.07	0.36			
1822.36	0.49			
1683.95	0.39			
1710.62	0.41			
1922.05	0.37			
1426.38	0.39			
1367.77	0.47			
1630.37	0.37			
1358.65	0.38			
1820.7	0.39			
2215.26	0.38			
1843.78	0.4			
1154.62	0.4			
1325.51	0.35			
1387.26	0.38			
1269.09	0.38			
1945.69	0.41			
1455.57	0.37			
1099.32	0.39			
1426.46	0.37			
1507.18	0.42			
1900.66	0.45			
1935.18	0.38			
1188.98	0.45			
1537.36	0.37			
1871.78	0.38			
997.64	0.38			
1846.12	0.4			
1514.78	0.35			
1712.08	0.38			
1606.85	0.41			
1646.58	0.42			
1065.48	0.4			
1463.85	0.38			
1267.72	0.36			
1259.31	0.4			
1425.02	0.35			
1818.54	0.39			
1573.9	0.41			
1752.57	0.46			
1662.19	0.4			
1656.1	0.39			
1574.79	0.39			
1722.25	0.43			
1830.18	0.32			
1779.25	0.39			
1320.04	0.42			
2035.32	0.39			
1735.09	0.41			
1648.09	0.42			
1817.81	0.47			
1534.17	0.35			
2076.17	0.38			
1118.92	0.36			
1557.58	0.44			
1515.8	0.37			
1300.91	0.43			
834.94	0.38			
1401.38	0.38			
1811.46	0.4			
1116.22	0.4			
1791.42	0.37			
1502.67	0.43			
1917.47	0.39			
1695.58	0.39			
1791.76	0.34			
2036.45	0.38			
1868.73	0.41			
1789.35	0.36			
1387.44	0.36			
1880.3	0.42			
1840.38	0.38			
1303.82	0.44			
1621.02	0.41			
1321.62	0.41			
2318.57	0.42			
1479.74	0.39			
1848.38	0.38			
1994.06	0.44			
2150.5	0.37			
1529.45	0.4			
1436.96	0.36			
1632.35	0.45			
1649.5	0.4			
1240.94	0.45			
1605.93	0.42			
1400.64	0.34			
1704.89	0.37			
1401.71	0.42			
2049.55	0.33			
1149.56	0.4			
1135.04	0.39			
1639.7	0.42			
1027.6	0.44			
1808.1	0.41			
1744.15	0.37			
1790.88	0.34			
1587.44	0.41			
1777.97	0.46			
1663.62	0.39			
1879.02	0.4			
1440.38	0.34			
1400.6	0.45			
1643.89	0.34			
1505.19	0.42			
1711.7	0.42			
1472.98	0.37			
1870.82	0.36			
2077.21	0.38			
1514.54	0.39			
1780.5	0.42			
1486.96	0.39			
1601.34	0.41			
1237.08	0.43			
1371.86	0.41			
1480.73	0.38			
1844.26	0.39			
1263.44	0.37			
1884.56	0.38			
1638.76	0.39			
1032.83	0.35			
1548.74	0.46			
1627.34	0.41			
1899.36	0.39			
1795.26	0.38			
1802.6	0.42			
873.06	0.35			
1295.34	0.37			
1853.12	0.43			
1290.46	0.4			
1466.25	0.43			
1361.3	0.37			
1114.53	0.44			
1472.44	0.36			
2076.74	0.37			
1456.73	0.38			
1696.92	0.45			
1600.19	0.35			
1325.43	0.38			
1666.3	0.39			
2072.19	0.4			
1300.02	0.34			
1656.04	0.4			
1822.74	0.39			
1883.02	0.39			
1140.21	0.38			
1533.02	0.39			
1862.37	0.37			
1556.18	0.38			
1732.38	0.38			
1737.19	0.37			
2194.87	0.45			
1703.62	0.43			
1750.81	0.38			
2188.5	0.41			
1765.61	0.37			
1824.01	0.46			
1733.75	0.36			
1631.45	0.48			
1029.95	0.45			
1783.86	0.34			
1878.6	0.42			
1427	0.35			
1180.12	0.44			
1473.87	0.4			
1232.17	0.4			
1468.65	0.43			
827.3	0.41			
1852.29	0.43			
2193.35	0.39			
1323.92	0.4			
1807.65	0.41			
2164.41	0.41			
1342.31	0.41			
1476.8	0.42			
1772.95	0.39			
1792.27	0.42			
1717.25	0.48			
1970.3	0.41			
1872.21	0.44			
1321.86	0.4			
1732.46	0.43			
1574.31	0.44			
1890.88	0.4			
1503.19	0.41			
1932.83	0.37			
1709.86	0.4			
1036.56	0.38			
1598.39	0.42			
1717.18	0.4			
1177.18	0.34			
2002.52	0.41			
1251.58	0.36			
1727.18	0.43			
1740.76	0.36			
1986.94	0.42			
1484.88	0.42			
1187.79	0.38			
1613.88	0.46			
1620.82	0.41			
2068.06	0.41			
1264.21	0.39			
1362.14	0.42			
1125.22	0.42			
1247.06	0.38			
1702.37	0.43			
1713.09	0.41			
1920.32	0.46			
1629.47	0.43			
1665.62	0.4			
1685.16	0.34			
1703.67	0.37			
